materia
ADMINISTRACION DE LA CONSTRUCCION
ADMINISTRACION DE LA PRODUCCION
ADMINISTRACION DE RECURSOS INFORMATICOS
AHORRO DE ENERGIA ELECTRICA
ALGEBRA LINEAL
ALGEBRA SUPERIOR
ALGEBRA SUPERIOR Y GEOMETRIA ANALITICA
ANALISIS DE MECANISMOS
ANALISIS ESTRUCTURAL I
ANALISIS ESTRUCTURAL II
ARQUITECTURA DE COMPUTADORAS
ARQUITECTURA DE REDES
AUTOMATIZACION AVANZADA
AUTOMATIZACION DE PROCESOS INDUSTRIALES
CALCULO AVANZADO
CALCULO DE UNA VARIABLE
CALCULO I
CALCULO II
CALCULO III
CALCULO MULTIVARIABLE
CIENCIA
CIRCUITOS ELECTRICOS Y ELECTRONICOS
COMPUTER NETWORKS
COMUNICACION ORAL Y ESCRITA
COMUNICACION Y RELACIONES HUMANAS
CONTROL AMBIENTAL
CONTROL ANALOGICO Y DIGITAL I
CONTROL CLASICO
CONTROL DE PROCESOS INDUSTRIALES
CULTURA Y COMUNICACION
DIBUJO MECANICO I
DINAMICA
DINAMICA DE SISTEMAS
DISEÑO DE ESTRUCTURAS DE ACERO
DISEÑO DE ESTRUCTURAS DE CONCRETO
DISEÑO DE SISTEMAS
DISEÑO DE TRANSMISIONES
DISTRIBUTED SYSTEMS
ECUACIONES DIFERENCIALES
EL INGENIERO Y SU ENTORNO SOCIOECONOMICO
ELECTRONICA
ELECTRONICA DE POTENCIA II
ELECTRONICA I
ENSAMBLADORES
EPISTEMOLOGIA
ESTATICA
ESTRUCTURAS DE DATOS
ESTRUCTURAS DE MAMPOSTERIA
ETICA DE LA CONFIANZA COMO RESPONSABILIDAD
ETICA EN INGENIERIA
ETICA PROFESIONAL
ETICA Y RESPONSABILIDAD PROFESIONAL
EVALUACION DE PROYECTOS
EXPERIMENTAL DESIGN
EXPRESION ORAL Y ESCRITA
GEOLOGIA
GEOMETRIA ANALITICA
GEOTECNIA I
GEOTECNIA II
GESTION DE PROYECTOS DE INVESTIGACION
GRAFICACION COMPUTACIONAL
HABILIDADES DIRECTIVAS
HIDRAULICA
INFORMES TECNICOS EN INGENIERIA
INGENIERIA DE SISTEMAS I
INGENIERIA DE SISTEMAS II
INGENIERIA DE SOFTWARE I
INGENIERIA DE SOFTWARE II
INGENIERIA ECONOMICA
INGENIERIA TERMICA
INSTALACIONES
INSTALACIONES ELECTRICAS INDUSTRIALES
INSTRUMENTACION
INTEGRATIVA PROFESIONAL
KNOWLEDGE REPRESENTATION
MAQUINAS ELECTRICAS
MAQUINAS ELECTRICAS I
MATEMATICAS DISCRETAS
MATEMATICAS PARA INTELIGENCIA ARTIFICIAL
MATERIALES PARA APLICACIONES FOTOTERMICAS
MATERIALES PARA APLICACIONES OPTOELECTROQUIMICAS
MATERIALES POLIMERICOS
MECANICA DE FLUIDOS
MECANICA DE MATERIALES
MECANICA DEL MEDIO CONTINUO
METODOS ESTADISTICOS
METODOS NUMERICOS
METROLOGIA
METROLOGIA ELECTRICA Y ELECTRONICA
MICROCONTROLADORES
MICROPROCESADORES I
PARADIGMAS DE PROGRAMACION
PARADIGMAS DE PROGRAMACION I
PAVIMENTOS
PRACTICA PROFESIONAL
PROBABILIDAD Y ESTADISTICA
PROGRAMACION BASICA
PROGRAMACION I
PROGRAMACION II
PROTOCOLOS DE COMUNICACION DE DATOS
PROYECTO DE INVESTIGACION
PROYECTOS DE INSTRUMENTACION
PSICOLOGIA INDUSTRIAL
QUIMICA
QUIMICA ORGANICA Y ORGANOMETALICA
REDES DE COMUNICACION
ROBOTICA
SISTEMAS DE TRATAMIENTO
SISTEMAS EMBEBIDOS
SISTEMAS LINEALES Y SEÑALES
SUSTENTABILIDAD E IMPACTO AMBIENTAL
TECNOLOGIA Y SOCIEDAD
TECNOLOGIAS COMPUTACIONALES I
TECNOLOGIAS COMPUTACIONALES II
TECNOLOGIAS EMERGENTES
TECNOLOGIAS PARA EL RECICLADO DE PLASTICOS
TEMAS SELECTOS DE SISTEMAS EFICIENTES DE COMBUSTION
TEORIA ELECTROMAGNETICA I
TEORIA ELECTROMAGNETICA II
TERMODINAMICA
TERMODINAMICA Y ELECTROMAGNETISMO
TERMOQUIMICA
TRANSPORTE
TRATAMIENTO DE AGUA RESIDUAL MUNICIPAL
TURBOMAQUINARIA
